sensor,hpsx,hpsy,hpsz,svtx,svty,svtz,ux,uy,uz,vx,vy,vz,wx,wy,wz
module_L1b_halfmodule_axial_sensor0,4.7744,-20.742,111.71,1.3656,-20.742,111.8,0.00021882,-1.0,-0.0028971,0.99958,0.00030301,-0.029091,0.029092,-0.0028895,0.99957
module_L1t_halfmodule_stereo_sensor0,3.6949,20.677,96.105,0.76239,20.677,96.173,-0.099796,-0.995,0.0036534,0.99456,-0.099861,-0.029636,0.029853,0.00067592,0.99955
module_L1b_halfmodule_stereo_sensor0,4.4794,-20.69,103.65,1.3166,-20.69,103.74,-0.099886,0.995,0.0022728,0.99452,0.099909,-0.030855,-0.030928,-0.00082169,-0.99952
module_L1t_halfmodule_axial_sensor0,3.4075,20.71,87.92,0.72478,20.71,87.983,9.323e-05,1.0,-0.00069837,0.99953,-0.00011467,-0.03077,-0.03077,-0.00069517,-0.99953
module_L2b_halfmodule_axial_sensor0,7.7653,-22.214,211.83,1.302,-22.214,211.96,7.1676e-05,-1.0,-0.002544,0.99958,0.00014527,-0.028939,0.02894,-0.0025408,0.99958
module_L2t_halfmodule_stereo_sensor0,6.6539,22.205,195.99,0.67403,22.205,196.1,-0.099341,-0.99499,0.011015,0.9946,-0.099625,-0.029251,0.030202,0.0080498,0.99951
module_L2b_halfmodule_stereo_sensor0,7.6574,-22.178,203.77,1.4398,-22.178,203.91,-0.099809,0.995,-0.0026174,0.99456,0.099685,-0.030287,-0.029875,-0.0056261,-0.99954
module_L2t_halfmodule_axial_sensor0,6.4337,22.245,187.99,0.69782,22.245,188.1,-2.6305e-06,0.99999,0.0046059,0.99952,0.00014531,-0.030977,-0.030977,0.0046036,-0.99951
module_L3b_halfmodule_axial_sensor0,10.711,-23.684,311.59,1.2044,-23.684,311.77,5.5592e-05,-1.0,0.0029649,0.99961,-2.7078e-05,-0.027875,0.027875,0.0029653,0.99961
module_L3t_halfmodule_stereo_sensor0,9.635,23.714,295.97,0.60497,23.714,296.12,-0.09937,-0.99503,0.0058798,0.99462,-0.099499,-0.028667,0.02911,0.0029995,0.99957
module_L3b_halfmodule_stereo_sensor0,10.483,-23.67,303.72,1.2164,-23.67,303.9,-0.099982,0.99499,-0.002153,0.99455,0.099873,-0.029835,-0.029471,-0.0051242,-0.99955
module_L3t_halfmodule_axial_sensor0,9.3983,23.753,287.98,0.61202,23.753,288.13,-0.00020281,1.0,-0.0026611,0.99952,0.00012068,-0.030824,-0.030824,-0.0026661,-0.99952
module_L4b_halfmodule_axial_hole_sensor0,-33.848,-26.691,513.08,-49.478,-26.691,511.8,0.00031071,-1.0,0.0021581,0.99955,0.00024564,-0.030086,0.030086,0.0021664,0.99954
module_L4b_halfmodule_axial_slot_sensor0,66.958,-26.686,510.03,51.374,-26.686,511.83,-0.00031106,1.0,-0.00059463,-0.99954,-0.00029281,0.030452,0.030452,0.00060382,0.99954
module_L4t_halfmodule_stereo_hole_sensor0,-35.171,29.168,497.12,-50.314,29.168,495.81,-0.049604,-0.99877,0.0019098,0.99828,-0.049639,-0.031045,0.031101,0.00036661,0.99952
module_L4t_halfmodule_stereo_slot_sensor0,65.578,24.156,493.99,50.483,24.156,495.76,0.050242,0.99874,-0.00017469,-0.99828,0.050224,0.030378,0.030349,-0.0013519,0.99954
