sensor,hpsx,hpsy,hpsz,svtx,svty,svtz,ux,uy,uz,vx,vy,vz,wx,wy,wz
module_L1b_halfmodule_axial_sensor0,4.7744,-20.737,111.71,1.3656,-20.737,111.8,0.00021882,-1.0,-0.0028971,0.99958,0.00030301,-0.029091,0.029092,-0.0028895,0.99957
module_L1t_halfmodule_stereo_sensor0,3.6946,20.674,96.105,0.76209,20.674,96.173,-0.099796,-0.995,0.0036534,0.99456,-0.099861,-0.029636,0.029853,0.00067592,0.99955
module_L1b_halfmodule_stereo_sensor0,4.4793,-20.688,103.65,1.3164,-20.688,103.74,-0.099886,0.995,0.0022728,0.99452,0.099909,-0.030855,-0.030928,-0.00082169,-0.99952
module_L1t_halfmodule_axial_sensor0,3.4075,20.713,87.92,0.72478,20.713,87.983,9.323e-05,1.0,-0.00069837,0.99953,-0.00011467,-0.03077,-0.03077,-0.00069517,-0.99953
module_L2b_halfmodule_axial_sensor0,7.7653,-22.216,211.83,1.302,-22.216,211.96,7.1676e-05,-1.0,-0.002544,0.99958,0.00014527,-0.028939,0.02894,-0.0025408,0.99958
module_L2t_halfmodule_stereo_sensor0,6.6544,22.211,195.99,0.67457,22.211,196.1,-0.099341,-0.99499,0.011015,0.9946,-0.099625,-0.029251,0.030202,0.0080498,0.99951
module_L2b_halfmodule_stereo_sensor0,7.6567,-22.171,203.77,1.4391,-22.171,203.91,-0.099809,0.995,-0.0026174,0.99456,0.099685,-0.030287,-0.029875,-0.0056261,-0.99954
module_L2t_halfmodule_axial_sensor0,6.4337,22.243,187.99,0.69782,22.243,188.1,-2.6305e-06,0.99999,0.0046059,0.99952,0.00014531,-0.030977,-0.030977,0.0046036,-0.99951
module_L3b_halfmodule_axial_sensor0,10.711,-23.67,311.59,1.2044,-23.67,311.77,0.00018954,-1.0,0.0029612,0.99961,0.00010692,-0.027876,0.027875,0.0029653,0.99961
module_L3t_halfmodule_stereo_sensor0,9.6351,23.716,295.97,0.60509,23.716,296.12,-0.099474,-0.99502,0.0058828,0.99461,-0.099602,-0.028667,0.02911,0.0029995,0.99957
module_L3b_halfmodule_stereo_sensor0,10.479,-23.628,303.72,1.2122,-23.628,303.9,-0.099954,0.99499,-0.0021538,0.99456,0.099846,-0.029835,-0.029471,-0.0051242,-0.99955
module_L3t_halfmodule_axial_sensor0,9.3983,23.744,287.98,0.61202,23.744,288.13,-0.00012184,1.0,-0.0026636,0.99952,3.9685e-05,-0.030824,-0.030824,-0.0026661,-0.99952
module_L4b_halfmodule_axial_hole_sensor0,-33.848,-26.685,513.08,-49.478,-26.685,511.8,0.00026373,-1.0,0.0021595,0.99955,0.00019864,-0.030086,0.030086,0.0021664,0.99954
module_L4b_halfmodule_axial_slot_sensor0,66.958,-26.686,510.03,51.374,-26.686,511.83,-0.0002121,1.0,-0.00059764,-0.99954,-0.00019381,0.030452,0.030452,0.00060382,0.99954
module_L4t_halfmodule_stereo_hole_sensor0,-35.169,29.21,497.12,-50.312,29.21,495.81,-0.049458,-0.99877,0.0019053,0.99829,-0.049494,-0.031045,0.031101,0.00036661,0.99952
module_L4t_halfmodule_stereo_slot_sensor0,65.581,24.211,493.99,50.486,24.211,495.76,0.049959,0.99875,-0.00016609,-0.99829,0.049941,0.030378,0.030349,-0.0013519,0.99954
module_L4b_halfmodule_stereo_hole_sensor0,-34.084,-29.212,505.57,-49.486,-29.212,504.3,-0.049086,0.99879,-0.00085051,0.99837,0.04904,-0.029121,-0.029044,-0.0022785,-0.99958
module_L4b_halfmodule_stereo_slot_sensor0,66.794,-24.18,502.52,51.438,-24.18,504.32,0.050665,-0.99872,-0.00027336,-0.99825,-0.05065,0.030428,-0.030402,-0.0012687,-0.99954
module_L4t_halfmodule_axial_hole_sensor0,-35.464,26.711,489.65,-50.379,26.711,488.34,-0.00041428,1.0,-0.0003462,0.99952,0.00040332,-0.031077,-0.031077,-0.0003589,-0.99952
module_L4t_halfmodule_axial_slot_sensor0,65.414,26.721,486.51,50.547,26.721,488.27,0.00025187,-1.0,-0.00091872,-0.99953,-0.00027981,0.030539,-0.03054,0.0009106,-0.99953
module_L5b_halfmodule_axial_hole_sensor0,-27.846,-29.678,713.07,-49.578,-29.678,711.88,0.00019713,-1.0,0.00084083,0.99956,0.00017198,-0.02981,0.02981,0.00084633,0.99956
module_L5b_halfmodule_axial_slot_sensor0,73.034,-29.683,710.03,51.347,-29.683,711.92,-0.00019976,1.0,0.00016717,-0.99952,-0.00020483,0.030891,0.030891,-0.00016092,0.99952
module_L5t_halfmodule_stereo_hole_sensor0,-29.063,32.249,697.09,-50.307,32.249,695.88,-0.049318,-0.99878,0.0017539,0.99831,-0.049349,-0.030811,0.03086,0.00023142,0.99952
module_L5t_halfmodule_stereo_slot_sensor0,71.705,27.248,693.94,50.509,27.248,695.8,0.049336,0.99878,-0.00037422,-0.99832,0.049325,0.030558,0.030539,-0.001134,0.99953
module_L5b_halfmodule_stereo_hole_sensor0,-28.01,-32.189,705.47,-49.51,-32.189,704.28,-0.049976,0.99875,0.0020133,0.99828,0.050014,-0.030445,-0.030508,0.00048837,-0.99953
module_L5b_halfmodule_stereo_slot_sensor0,72.777,-27.16,702.43,51.323,-27.16,704.32,0.050013,-0.99874,-0.0030353,-0.99831,-0.050081,0.029512,-0.029627,0.0015542,-0.99956
module_L5t_halfmodule_axial_hole_sensor0,-29.417,29.761,689.48,-50.429,29.761,688.26,-0.00052586,1.0,-0.00021967,0.99947,0.00051846,-0.032426,-0.032426,-0.00023661,-0.99947
module_L5t_halfmodule_axial_slot_sensor0,71.419,29.783,686.37,50.454,29.783,688.23,0.0003958,-1.0,-0.0006313,-0.99957,-0.0004142,0.029415,-0.029415,0.00061939,-0.99957
module_L6b_halfmodule_axial_hole_sensor0,-21.795,-32.655,912.89,-49.623,-32.655,911.8,0.00014649,-1.0,0.0014069,0.9996,0.00010666,-0.028267,0.028266,0.0014105,0.9996
module_L6b_halfmodule_axial_slot_sensor0,79.097,-32.665,909.99,51.309,-32.665,911.98,-8.0398e-05,1.0,-0.00029516,-0.99952,-7.1242e-05,0.030889,0.030889,0.00029751,0.99952
module_L6t_halfmodule_stereo_hole_sensor0,-22.898,35.2,896.91,-50.239,35.2,895.79,-0.049288,-0.99878,0.001755,0.9983,-0.049318,-0.031099,0.031148,0.0002192,0.99951
module_L6t_halfmodule_stereo_slot_sensor0,77.728,30.212,893.88,50.433,30.212,895.83,0.049258,0.99879,-0.0014462,-0.99838,0.049279,0.028367,0.028404,4.655e-05,0.9996
module_L6b_halfmodule_stereo_hole_sensor0,-21.879,-35.145,905.35,-49.477,-35.145,904.26,-0.049815,0.99876,-0.00047049,0.99833,0.04978,-0.029274,-0.029214,-0.001928,-0.99957
module_L6b_halfmodule_stereo_slot_sensor0,78.87,-30.14,902.35,51.316,-30.14,904.33,0.049801,-0.99876,-0.0021184,-0.99831,-0.049842,0.02992,-0.029989,0.00062471,-0.99955
module_L6t_halfmodule_axial_hole_sensor0,-23.248,32.722,889.46,-50.361,32.722,888.33,-0.00015956,1.0,-0.00053096,0.99954,0.00014343,-0.030225,-0.030225,-0.00053554,-0.99954
module_L6t_halfmodule_axial_slot_sensor0,77.486,32.709,886.45,50.417,32.709,888.4,7.3085e-05,-1.0,0.0010511,-0.99957,-4.2149e-05,0.029402,-0.029402,-0.0010528,-0.99957
ECalScoring_BeamLeft_layer1_module0_sensor0,214.1,122.8,1338.0,173.2,122.8,1343.9,-1.0366e-13,1.0,0.0,-1.0,-1.0366e-13,0.0,0.0,0.0,1.0
ECalScoring_ElectronGap_layer1_module0_sensor0,-23.382,130.47,1338.0,-64.173,130.47,1336.7,-1.0366e-13,1.0,0.0,-1.0,-1.0366e-13,0.0,0.0,0.0,1.0
ECalScoring_BeamRight_layer1_module0_sensor0,-216.31,121.3,1338.0,-257.01,121.3,1330.8,-1.0366e-13,1.0,0.0,-1.0,-1.0366e-13,0.0,0.0,0.0,1.0
ECalScoring_BeamLeft_layer2_module0_sensor0,214.1,-122.8,1338.0,173.2,-122.8,1343.9,3.1092e-13,-1.0,0.0,1.0,3.1092e-13,0.0,-0.0,0.0,1.0
ECalScoring_ElectronGap_layer2_module0_sensor0,-23.382,-130.47,1338.0,-64.173,-130.47,1336.7,3.1092e-13,-1.0,0.0,1.0,3.1092e-13,0.0,-0.0,0.0,1.0
ECalScoring_BeamRight_layer2_module0_sensor0,-216.31,-121.3,1338.0,-257.01,-121.3,1330.8,3.1092e-13,-1.0,0.0,1.0,3.1092e-13,0.0,-0.0,0.0,1.0
